dim,train_file,use_pretrained_vector,val_tweets_f1_score,val_polemo_f1_score,val_wordnet_f1_score
100,train_polemo_tweets_data.txt,False,0.37562989752863174,0.6424948527538518,0.26707462922727354
100,train_wordnet_tweets_data.txt,False,0.2655132312646683,0.2886327085889331,0.4952209143206495
100,full_train_data.txt,False,0.36791989985023094,0.5242319223954252,0.37970720328598295
300,train_polemo_tweets_data.txt,False,0.37562989752863174,0.6425149268352411,0.26717113809576465
300,train_wordnet_tweets_data.txt,False,0.2668601713738333,0.28976209551783805,0.487670701956199
300,full_train_data.txt,False,0.36986283795213515,0.5230049885646493,0.3798046181513888
500,train_polemo_tweets_data.txt,False,0.37562989752863174,0.642334233742843,0.2669845956925307
500,train_wordnet_tweets_data.txt,False,0.2688650578612849,0.29066463597090497,0.4852578163296422
500,full_train_data.txt,False,0.37041760440110033,0.5226918799642906,0.3798008579848582
1000,train_polemo_tweets_data.txt,False,0.37562989752863174,0.6426263900596827,0.2671133002439715
1000,train_wordnet_tweets_data.txt,False,0.2519061312790207,0.2881247481814736,0.4808981645544983
1000,full_train_data.txt,False,0.37041760440110033,0.5231259565473293,0.38002064785693446
300,train_polemo_tweets_data.txt,True,0.38563777994157744,0.638958456297816,0.3056079486600514
300,train_wordnet_tweets_data.txt,True,0.43731289660321015,0.28741413381398245,0.43415950133605685
300,full_train_data.txt,True,0.3715743454580063,0.628864946007507,0.3900382543564085
