lr,epoch,tweets_f1_score,dev_f1_score
0.001,100,0.07723577235772357,0.13483288855000636
0.001,250,0.28369486793399834,0.28733619777780717
0.001,500,0.3450963718820861,0.4875128174787702
0.001,1000,0.44096459096459095,0.5607791230695027
0.005,100,0.3450963718820861,0.4872309231673328
0.005,250,0.4589617898441427,0.5740606491264695
0.005,500,0.4989115474077759,0.5780589677968582
0.005,1000,0.4441432764630343,0.5730638765390956
0.0001,100,0.08022774327122154,0.12492594192404008
0.0001,250,0.11953551912568307,0.1347864768683274
0.0001,500,0.07723577235772357,0.13483288855000636
0.0001,1000,0.07377049180327869,0.13483288855000636
0.0005,100,0.07723577235772357,0.13483288855000636
0.0005,250,0.07377049180327869,0.135181151247235
0.0005,500,0.2913510101010101,0.2865765515902747
0.0005,1000,0.3450963718820861,0.48687333663868504
