,lr,epoch,tweets_f1_score,dev_f1_score
0,0.001,100,0.47309228143815873,0.5781176034831482
1,0.001,250,0.4989115474077759,0.5784146579599303
2,0.001,500,0.4989115474077759,0.5781948930981358
3,0.001,1000,0.47309228143815873,0.5783590817567723
4,0.005,100,0.4989115474077759,0.5780887910650374
5,0.005,250,0.4989115474077759,0.5784509443199565
6,0.005,500,0.4989115474077759,0.5784146579599303
7,0.005,1000,0.47309228143815873,0.57761176966198
8,0.0001,100,0.4989115474077759,0.5780887910650374
9,0.0001,250,0.4989115474077759,0.5781346902195486
10,0.0001,500,0.4989115474077759,0.5784218082786423
11,0.0001,1000,0.4989115474077759,0.5783499336950164
12,0.0005,100,0.4989115474077759,0.5785388886528873
13,0.0005,250,0.47309228143815873,0.5783968903042601
14,0.0005,500,0.4989115474077759,0.577554363960377
15,0.0005,1000,0.4989115474077759,0.578612027993442
